,Scientific,Dutch,RL_NT,RL_VU,RL_EN,RL_CR,RL_EX,HabDir_II,HabDir_IV,BirdDir_I,BernConv_1,BernConv_2,BonnConv_1,BonnConv_2,FF_Table1,FF_Table2,FF_Table3,FF_Birds,taxonomicGroup
Apodemus sylvaticus,Apodemus sylvaticus,Bosmuis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Mammals
Arvicola amphibius,Arvicola amphibius,Woelrat,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Mammals
Capreolus capreolus,Capreolus capreolus,Ree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mammals
Castor fiber,Castor fiber,Bever,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Mammals
Cervus elaphus,Cervus elaphus,Edelhert,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Mammals
Eptesicus serotinus,Eptesicus serotinus,Laatvlieger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mammals
Erinaceus europaeus,Erinaceus europaeus,Egel ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mammals
Lepus europaeus,Lepus europaeus,Haas ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Mammals
Lutra lutra,Lutra lutra,Otter,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,Mammals
Meles meles,Meles meles,Das ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mammals
Micromys minutus,Micromys minutus,Dwergmuis ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Mammals
Microtus agrestis,Microtus agrestis,Aardmuis ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Mammals
Microtus arvalis,Microtus arvalis,Veldmuis ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Mammals
Microtus oeconomus subsp. arenicola,Microtus oeconomus subsp. arenicola,Noordse woelmuis,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,Mammals
Microtus subterraneus,Microtus subterraneus,Ondergrondse woelmuis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Mammals
Mus musculus,Mus musculus,Huismuis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mammals
Mustela erminea,Mustela erminea,Hermelijn ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Mammals
Mustela lutreola,Mustela lutreola,Europese nerts,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Mammals
Mustela nivalis,Mustela nivalis,Wezel,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Mammals
Mustela putorius,Mustela putorius,Bunzing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Mammals
Myodes glareolus,Myodes glareolus,Rosse woelmuis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mammals
Myotis dasycneme,Myotis dasycneme,Meervleermuis,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,Mammals
Myotis daubentonii,Myotis daubentonii,Watervleermuis,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,Mammals
Myotis mystacinus,Myotis mystacinus,Baardvleermuis,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,Mammals
Myotis nattereri,Myotis nattereri,Franjestaart,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,Mammals
Neomys fodiens,Neomys fodiens,Waterspitsmuis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Mammals
Nyctalus leisleri,Nyctalus leisleri,Bosvleermuis,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,Mammals
Nyctalus noctula,Nyctalus noctula,Rosse vleermuis,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,Mammals
Oryctolagus cuniculus,Oryctolagus cuniculus,Konijn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mammals
Pipistrellus nathusii,Pipistrellus nathusii,Ruige dwergvleermuis,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,Mammals
Pipistrellus pipistrellus,Pipistrellus pipistrellus,Gewone dwergvleermuis,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,Mammals
Plecotus auritus,Plecotus auritus,Gewone grootoorvleermuis,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,Mammals
