oldEcotope,newEcotope
HG-1,HG-1-2
HG-2,
III.2,III.2-3
III.3,
IV.8,IV.8-9
IV.9,
OA-1,O-UA-1
UA-1,
OA-2,O-UA-2
UA-2,
OB-1,O-UB-1
UB-1,
OB-2,O-UB-2
UB-2,
OB-3,O-UB-3
UB-3,
OB-1,O-UB-4
UB-1,
OB-1,O-UB-5
UB-1,
OG-1,O-UG-1
UG-1,
OG-1,O-UG-1-2
UG-1,
OG-2,
UG-2,
OG-2,O-UG-2
UG-2,
OR-1,O-UR-1
UR-1,
RnMh,RnM
RnMz,
RnOh,RnO
RnOz,
RvDh,RvD
RvDk,
RvDz,
RvMh,RvM
RvMk,
RvMz,
RvOh,RvO
RvOk,
RvOz,
RwDh,RwD
RwDz,
RwMh,RwM
RwMz,
RwOh,RwO
RwOz,
RzDh,RzD
RzDz,
RzMh,RzM
RzMz,
RzOh,RzO
RzOz,
UG-1,UG-1-2
UG-2,
V.1,V.1-2
V.2,
VI.2,VI.2-3
VI.3,
VII.1,VII.1-2
VII.2,
VII.1,VII.1-3
VII.3,
RnMz,RtD
RnMh,
RnMz,RtM
RnMh,
RnOz,RtO
RnOh,
RnMh,RnD
RnMz,
UR-1,O-UP-1
OR-1,
II.4,II.4-5
HA-1,HP-1
II.1,VII.4
II.3,
II.4,
II.9,
IV.1,UM-1
IV.2,
IV.3,
IV.6,
IV.8,
IV.9,
HM-1,
HM-2,
UA-1,UP-1
UB-3,UB-4
UB-3,UB-5
