# sleutel_3e_cyclus_4_uitbreiding_maas_lgn5.asc.
#
# CSO, 25-6-2013
# Uitgebreid met codes voor Zeeuwse Delta: ZES (Oosterschelde en Westerschelde) + AGI 2006 (Grevelingen en Veerse Meer)
# The first uncommented line should contain the fieldnames for ecotoopcode and ruwheidscode.
# Empty lines will be skipped.

ecotoopcode , ruwheidscode
RZd-1 , 102
RZo-1 , 111
RZo-2 , 111
RZo-3 , 111
RZs-1 , 111
RZs-2 , 111
RZs-3 , 106
RZs-4 , 1805
RZs-5 , 112
RZs-6 , 113
ROb-1 , 1244
ROb-2 , 1233
ROb-3 , 1245
ROb-4 , 1231
ROb-5 , 1242
ROb-5h , 1241
ROb-5z , 1242
ROr-1 , 1250
ROr-2 , 1212
ROr-2a , 1211
ROr-2r , 1212
ROr-3 , 121
ROr-4 , 114
ROr-4b , 114
ROr-4v , 114
ROg-1 , 1202
ROg-2 , 1202
ROg-3 , 1201
ROh-1 , 1202
ROh-2 , 1201
ROh-3 , 121
ROk-1 , 1250
RUb-1 , 1244
RUb-2 , 1233
RUb-3 , 1245
RUb-4 , 1231
RUb-5 , 1241
RUb-6 , 1242
RUr-1 , 1212
RUr-2 , 1211
RUr-3 , 121
RUr-4 , 114
RUr-4b , 114
RUr-4v , 114
RUg-1 , 1202
RUg-2 , 1202
RUg-3 , 1201
RUh-2 , 1201
RUh-3 , 121
RUk-1 , 1250
RMb-1 , 1244
RMb-2 , 1245
RMb-3 , 1231
RMb-4 , 1231
RMr-1 , 1804
RMr-2 , 1807
RMr-3 , 1801
RMg-1 , 1202
RMg-2 , 1201
RMg-3 , 1202
RWn-1 , 105
RWn-2 , 104
RWn-3 , 104
RWs-1 , 104
RWs-2 , 104
RWs-3 , 104
RWs-4 , 104
RWs-5 , 104
RWp-1 , 106
RWp-2 , 106
RWp-3 , 106
RWp-4 , 106
RHb-1 , 1244
RHb-1h , 1244
RHb-1z , 1245
RHb-2 , 1233
RHb-2h , 1233
RHb-2z , 1231
RHb-3 , 1242
RHb-3h , 1241
RHb-3z , 1242
RHr-1 , 1212
RHr-1a , 1211
RHr-1r , 1212
RHr-2 , 121
RHr-3 , 114
RHr-3b , 114
RHr-3v , 114
RHg-1 , 1202
RHg-2 , 1202
RHg-3 , 1201
RHh-1 , 1202
RHh-2 , 1201
RHh-3 , 121
RHk-1 , 1250
BNn-1 , 304
BZn-1 , 304
BBz-2 , 304
BBz-2b , 304
BBz-3 , 304
BBz-3b , 304
BBz-6 , 304
BDn-1 , 304
BDn-3 , 304
BMn-1 , 304
BMn-3 , 304
BMn-5 , 106
BMn-6 , 106
BOn-1 , 305
BOn-2 , 305
BOn-3 , 305
BSh-1 , 113
BSn-1 , 111
BSn-4 , 1250
BBs-2 , 111
BBs-2a , 1250
BBs-3 , 106
BBs-3a , 1250
BBs-5 , 112
BBs-6 , 113
BKr-0 , 1805
BKr-1 , 1804
BKr-2 , 1807
BKr-2a , 1807
BKr-2b , 1807
BKr-3 , 121
BKr-4 , 114
BKb-2 , 1245
BKb-6 , 1232
BKg-1 , 1202
BKg-3 , 1201
BKk-1 , 1250
BGr-1 , 1212
BGr-2 , 121
BGr-3 , 114
BGb-3 , 1245
BGb-6 , 1232
BGg-0 , 1202
BGg-1 , 1202
BGg-3 , 1201
BGk-1 , 1250
BOr-1 , 1250
BHb-1 , 1233
BHb-2 , 1244
BHb-3 , 1242
BNb-1 , 1231
BNb-2 , 1245
BNb-3 , 1242
BHr-1 , 1212
BHr-2 , 121
BHr-3 , 114
BNr-1 , 1212
BNr-2 , 121
BNr-3 , 114
BHg-1 , 1202
BHg-3 , 1201
BNg-1 , 1202
BNg-3 , 1201
BHk-1 , 1250
BNk-1 , 1250
MZn-0 , 302
MZn-1 , 302
MZn-2 , 302
MZw-2 , 302
MZz , 302
MZz-0 , 302
MZz-1 , 302
MZz-2 , 302
MDn-0 , 302
MDn-1 , 302
MDn-2 , 302
MDw-0 , 302
MDw-1 , 302
MDz , 302
MDz-0 , 302
MDz-1 , 302
MDz-2 , 302
MMn-0 , 302
MMn-1 , 302
MMn-2 , 302
MMw-0 , 302
MMw-1 , 302
MMw-2 , 302
MMz , 302
MMz-0 , 302
MMz-1 , 302
MMz-2 , 302
MMz-3 , 106
MNw-2 , 303
MNz , 302
MOh-1 , 1806
MOh-4 , 1807
MOn-0 , 303
MOn-1 , 303
MOn-2 , 303
MOw-0 , 303
MOw-1 , 303
MOw-2 , 303
MOz , 303
MOz-0 , 303
MOz-1 , 303
MOz-2 , 303
MLk-1 , 111
MLk-1f , 1250
MLk-1m/b , 1250
MLK-2 , 113
MLk-2b , 113
MLk-2v , 113
MLr-1 , 1805
MLr-2 , 1804
MLr-2f , 1804
MLr-2m/b , 1804
MLr-3 , 1807
MLr-4 , 1807
MLr-5 , 121
MLg-1 , 1202
MLg-2 , 1202
MLg-3 , 1201
