km,dikeraising_evr_smooth,dikeraising_lrg_smooth,groynelowering_evr_smooth,groynelowering_lrg_smooth,lowering_evr_natural,lowering_evr_smooth,lowering_lrg_natural,lowering_lrg_smooth,minemblowering_evr_smooth,minemblowering_lrg_smooth,reference_FM_dQdh,sidechannel_evr_natural,sidechannel_evr_smooth,sidechannel_lrg_natural,sidechannel_lrg_smooth,smoothing_evr_natural,smoothing_evr_smooth,smoothing_lrg_natural,smoothing_lrg_smooth
868.0,0.0,0.0,-0.0539666979031,-0.051723267392,-1.29256603914,-1.37051126069,-0.622864303362,-0.654527685133,-0.109974052054,-0.0781131067581,0.0,-0.240939181354,-0.268957064146,-0.107918617842,-0.121090044813,-0.135870749577,-0.205625234834,-0.0838345105481,-0.133038282715
869.0,0.0,0.0,-0.0522243638922,-0.0499079998763,-1.24675960713,-1.3225736198,-0.59543892645,-0.62569364979,-0.102869538951,-0.0703760808813,0.0,-0.251158981083,-0.280315826528,-0.112677724919,-0.12624342663,-0.14244213824,-0.212504779635,-0.0889914015496,-0.137962997359
870.0,0.0,0.0,-0.0533743705758,-0.0510134482543,-1.25804440141,-1.33350925525,-0.594613075696,-0.624918860877,-0.103822561754,-0.0707693022097,0.0,-0.251293392814,-0.280411271988,-0.110477125072,-0.123702852207,-0.131534774743,-0.201300851221,-0.0783360139073,-0.126814269529
871.0,0.0,0.0,-0.0567515137124,-0.054271564354,-1.24124184068,-1.31891118266,-0.561512349618,-0.591526798309,-0.106959816004,-0.0722348077881,0.0,-0.264352415968,-0.296300093808,-0.117121768979,-0.132167708831,-0.101651399812,-0.172405799897,-0.0484705299608,-0.0972598459657
872.0,0.0,0.0,-0.0572144591222,-0.0548067638164,-1.23229443729,-1.31059789781,-0.538505656212,-0.567842715452,-0.0978308309801,-0.0628257045263,0.0,-0.273640018438,-0.30662659384,-0.120568332525,-0.135940858177,-0.0902546896114,-0.161549482399,-0.0326767909099,-0.0810628732955
873.0,0.0,0.0,-0.0573607931292,-0.0548609062804,-1.22364234726,-1.3020061755,-0.543264984494,-0.572807348403,-0.0890673092483,-0.0539854769315,0.0,-0.284430947242,-0.319202619674,-0.124474655081,-0.1404474101,-0.0811865800942,-0.152475649134,-0.0276003345638,-0.0761662650477
874.0,0.0,0.0,-0.058482842973,-0.0557962496974,-1.16137637261,-1.23864077656,-0.506421092301,-0.535605163573,-0.0663256016997,-0.0316261418905,0.0,-0.314480862985,-0.354717585059,-0.135260651063,-0.152902294591,-0.0810529175065,-0.154399181119,-0.0310911535472,-0.0806351789343
875.0,0.0,0.0,-0.0536267749189,-0.0507328870712,-1.12035198866,-1.19696683739,-0.50306929486,-0.533341023862,-0.046918390106,-0.0136699212871,0.0,-0.336800386094,-0.381204941944,-0.143940836212,-0.162943354813,-0.0787011784474,-0.154190448076,-0.035463474199,-0.0869692565212
876.0,0.0,0.0,-0.0493004055839,-0.0470842026055,-1.11559673772,-1.19283778109,-0.527816427115,-0.559700765367,-0.0498862349085,-0.018236266313,0.0,-0.329066036454,-0.371316336089,-0.148764993599,-0.168467813068,-0.0766863735533,-0.152576805855,-0.0376060183497,-0.0906308999841
877.0,0.0,0.0,-0.0397127297918,-0.0375787116571,-1.08922013153,-1.16621018478,-0.459397224406,-0.4895191101,-0.0617534568781,-0.026397430198,0.0,-0.299286900689,-0.337246042011,-0.124144965656,-0.143011356299,-0.0845316874087,-0.160220218987,-0.0408899638293,-0.0924357230295
